model-1604203592,1604203601.283,0.6,0.2312,0.59,0.2321
model-1604203592,1604203601.338,0.6,0.2277,0.59,0.2311
model-1604203592,1604203601.391,0.66,0.2248,0.59,0.2241
model-1604203592,1604203601.447,0.63,0.2261,0.64,0.221
model-1604203592,1604203601.501,0.65,0.2196,0.68,0.2196
model-1604203592,1604203601.559,0.65,0.2311,0.68,0.2174
model-1604203592,1604203601.62,0.62,0.2183,0.67,0.2147
model-1604203592,1604203601.677,0.66,0.2124,0.63,0.2153
model-1604203592,1604203601.738,0.67,0.2033,0.63,0.222
model-1604203592,1604203601.794,0.62,0.2208,0.63,0.2186
model-1604203592,1604203601.853,0.69,0.2115,0.64,0.2123
model-1604203592,1604203601.914,0.65,0.2261,0.68,0.2078
model-1604203592,1604203601.969,0.67,0.2028,0.67,0.2076
model-1604203592,1604203602.03,0.62,0.2217,0.68,0.2074
model-1604203592,1604203602.086,0.62,0.2286,0.67,0.208
model-1604203592,1604203602.146,0.65,0.2137,0.68,0.2121
model-1604203592,1604203602.202,0.71,0.1935,0.62,0.2205
model-1604203592,1604203602.26,0.67,0.2042,0.61,0.2288
model-1604203592,1604203602.314,0.66,0.2154,0.63,0.2359
model-1604203592,1604203602.369,0.67,0.197,0.62,0.2236
model-1604203592,1604203602.422,0.63,0.2169,0.65,0.2116
model-1604203592,1604203602.478,0.52,0.2639,0.66,0.2122
model-1604203592,1604203602.53,0.66,0.1985,0.63,0.2169
model-1604203592,1604203602.585,0.7,0.2322,0.63,0.2213
model-1604203592,1604203602.638,0.67,0.2148,0.61,0.2253
model-1604203592,1604203602.694,0.61,0.2237,0.62,0.2222
model-1604203592,1604203602.748,0.61,0.2383,0.66,0.218
model-1604203592,1604203602.802,0.69,0.21,0.64,0.215
model-1604203592,1604203602.854,0.64,0.2245,0.66,0.2146
model-1604203592,1604203602.911,0.6,0.2115,0.66,0.2153
model-1604203592,1604203602.968,0.71,0.2024,0.66,0.2153
model-1604203592,1604203603.034,0.59,0.2373,0.66,0.2153
model-1604203592,1604203603.092,0.71,0.2165,0.67,0.2149
model-1604203592,1604203603.147,0.67,0.2121,0.67,0.2132
model-1604203592,1604203603.201,0.61,0.2244,0.69,0.2137
model-1604203592,1604203603.258,0.66,0.2188,0.66,0.2159
model-1604203592,1604203603.311,0.66,0.2071,0.67,0.2158
model-1604203592,1604203603.369,0.71,0.2049,0.72,0.2088
model-1604203592,1604203603.432,0.65,0.2144,0.66,0.204
model-1604203592,1604203603.492,0.64,0.2151,0.68,0.2051
model-1604203592,1604203603.547,0.63,0.2253,0.67,0.2002
model-1604203592,1604203603.602,0.65,0.2233,0.73,0.2033
model-1604203592,1604203603.655,0.67,0.2049,0.64,0.2176
model-1604203592,1604203603.712,0.65,0.2112,0.63,0.2215
model-1604203592,1604203603.765,0.6,0.2447,0.67,0.2112
model-1604203592,1604203603.823,0.62,0.2334,0.67,0.2114
model-1604203592,1604203603.877,0.65,0.214,0.65,0.2046
model-1604203592,1604203603.934,0.64,0.2197,0.7,0.1998
model-1604203592,1604203603.989,0.68,0.206,0.68,0.2037
model-1604203592,1604203604.044,0.67,0.2115,0.71,0.2016
model-1604203592,1604203604.098,0.63,0.2209,0.67,0.2003
model-1604203592,1604203604.153,0.65,0.2308,0.71,0.2024
model-1604203592,1604203604.205,0.7,0.1979,0.7,0.2034
model-1604203592,1604203604.262,0.6,0.2201,0.71,0.2048
model-1604203592,1604203604.315,0.57,0.2366,0.67,0.2076
model-1604203592,1604203604.371,0.65,0.2208,0.65,0.2154
model-1604203592,1604203604.425,0.67,0.2087,0.6,0.2224
model-1604203592,1604203604.483,0.74,0.2008,0.58,0.2348
model-1604203592,1604203604.537,0.53,0.2411,0.59,0.2368
model-1604203592,1604203604.592,0.65,0.2102,0.59,0.2321
model-1604203592,1604203604.648,0.72,0.1943,0.59,0.2266
model-1604203592,1604203604.71,0.58,0.2498,0.68,0.213
model-1604203592,1604203604.765,0.7,0.1975,0.71,0.208
model-1604203592,1604203604.822,0.68,0.2225,0.7,0.2075
model-1604203592,1604203604.876,0.71,0.1932,0.66,0.2113
model-1604203592,1604203604.938,0.7,0.2061,0.61,0.2221
model-1604203592,1604203604.994,0.59,0.2346,0.58,0.2354
model-1604203592,1604203605.05,0.67,0.2112,0.55,0.2399
model-1604203592,1604203605.102,0.55,0.2357,0.61,0.2222
model-1604203592,1604203605.141,0.6,0.2432,0.7,0.203
model-1604203592,1604203605.202,0.68,0.2117,0.69,0.209
model-1604203592,1604203605.257,0.68,0.2128,0.65,0.2164
model-1604203592,1604203605.313,0.68,0.2162,0.65,0.2163
model-1604203592,1604203605.37,0.61,0.2138,0.69,0.209
model-1604203592,1604203605.426,0.64,0.2346,0.72,0.2014
model-1604203592,1604203605.498,0.62,0.2268,0.69,0.2029
model-1604203592,1604203605.555,0.65,0.221,0.67,0.2097
model-1604203592,1604203605.616,0.66,0.2183,0.67,0.2136
model-1604203592,1604203605.673,0.68,0.2037,0.65,0.2183
model-1604203592,1604203605.73,0.63,0.2239,0.65,0.2144
model-1604203592,1604203605.791,0.62,0.2333,0.69,0.2028
model-1604203592,1604203605.845,0.72,0.2011,0.7,0.199
model-1604203592,1604203605.916,0.66,0.2227,0.7,0.2014
model-1604203592,1604203605.974,0.6,0.2272,0.7,0.2023
model-1604203592,1604203606.036,0.67,0.2359,0.69,0.2015
model-1604203592,1604203606.098,0.63,0.216,0.7,0.2027
model-1604203592,1604203606.16,0.61,0.2162,0.69,0.2062
model-1604203592,1604203606.215,0.7,0.2038,0.69,0.2077
model-1604203592,1604203606.277,0.77,0.1715,0.69,0.2058
model-1604203592,1604203606.331,0.64,0.2255,0.68,0.2044
model-1604203592,1604203606.39,0.69,0.2036,0.69,0.2026
